                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.69609,                0.34281,                 1.0426,                0.86859,                0.98223,                0.90385,                0.84068,                0.42192,                0.27903,                0.89656,              0.0088813,              0.0088813,              0.0088813
                    115,                0.67757,                0.34036,                  1.022,                0.93907,                0.96436,                0.97819,                0.93681,                0.37094,                0.25872,                0.86966,              0.0088714,              0.0088714,              0.0088714
                    116,                0.69776,                0.34825,                 1.0354,                0.85955,                0.96669,                0.89039,                0.84669,                0.39961,                0.28312,                0.88913,              0.0088615,              0.0088615,              0.0088615
                    117,                0.69699,                0.34568,                 1.0303,                0.83885,                0.97729,                0.90226,                0.82627,                0.45111,                0.28302,                0.91604,              0.0088516,              0.0088516,              0.0088516
                    118,                 0.6972,                0.34697,                 1.0278,                0.91517,                0.95415,                0.98255,                0.93269,                0.37298,                0.26098,                0.87207,              0.0088417,              0.0088417,              0.0088417
                    119,                0.67686,                0.33513,                 1.0275,                0.91536,                0.96322,                 0.9896,                0.92469,                0.35471,                0.25555,                0.86717,              0.0088318,              0.0088318,              0.0088318
                    120,                0.67077,                0.33013,                 1.0229,                0.92593,                0.92511,                0.97709,                0.90941,                0.40222,                0.28499,                0.88995,              0.0088219,              0.0088219,              0.0088219
                    121,                0.68176,                0.33799,                 1.0323,                0.98628,                0.85421,                0.88314,                 0.8125,                0.39905,                0.24481,                0.88824,               0.008812,               0.008812,               0.008812
                    122,                0.67554,                0.34026,                 1.0279,                0.93559,                0.97146,                0.98503,                0.92442,                0.45238,                0.30041,                 0.9162,              0.0088021,              0.0088021,              0.0088021
                    123,                 0.6938,                0.34348,                 1.0321,                0.87388,                0.95111,                0.97346,                0.90824,                0.39793,                0.30518,                 0.8807,              0.0087922,              0.0087922,              0.0087922
                    124,                0.69669,                0.34233,                  1.037,                0.90584,                0.96053,                0.92041,                0.83561,                0.41958,                0.27664,                 0.8974,              0.0087823,              0.0087823,              0.0087823
                    125,                0.68202,                 0.3447,                 1.0274,                0.88992,                0.95691,                0.89782,                0.84925,                0.36247,                 0.2635,                0.87025,              0.0087724,              0.0087724,              0.0087724
                    126,                0.67753,                 0.3447,                 1.0257,                0.85593,                0.97004,                0.89619,                0.83831,                0.37257,                0.26942,                 0.8648,              0.0087625,              0.0087625,              0.0087625
                    127,                 0.6762,                0.33454,                  1.021,                0.87725,                0.96888,                0.88322,                  0.842,                0.34105,                0.26739,                0.86233,              0.0087526,              0.0087526,              0.0087526
                    128,                0.67572,                  0.334,                 1.0312,                0.88388,                0.97628,                0.89443,                0.84603,                0.38933,                0.26661,                0.87957,              0.0087427,              0.0087427,              0.0087427
                    129,                0.68564,                0.34255,                 1.0326,                0.87978,                 0.9802,                 0.8929,                0.84694,                0.37112,                0.25896,                0.87562,              0.0087328,              0.0087328,              0.0087328
                    130,                0.67819,                 0.3394,                 1.0293,                0.85286,                0.97238,                0.90415,                0.84767,                0.36861,                0.25856,                0.86523,              0.0087229,              0.0087229,              0.0087229
                    131,                0.68937,                  0.335,                 1.0454,                0.89858,                  0.974,                0.91917,                0.86067,                0.36165,                0.26321,                 0.8666,               0.008713,               0.008713,               0.008713
                    132,                0.67484,                0.33426,                  1.029,                0.96718,                0.96724,                0.98292,                0.93516,                 0.3594,                0.24961,                0.86342,              0.0087031,              0.0087031,              0.0087031
                    133,                0.68284,                 0.3426,                 1.0252,                0.95463,                0.95588,                0.97514,                0.89034,                0.46769,                0.29128,                0.91205,              0.0086932,              0.0086932,              0.0086932
                    134,                0.67883,                0.33366,                 1.0371,                0.90274,                0.98083,                0.92998,                0.85152,                0.45844,                 0.2499,                0.90942,              0.0086833,              0.0086833,              0.0086833
                    135,                0.67206,                0.33691,                 1.0258,                0.88086,                0.97164,                0.90415,                 0.8498,                0.35558,                0.24374,                0.86621,              0.0086734,              0.0086734,              0.0086734
                    136,                0.67428,                0.33084,                 1.0305,                0.88142,                0.97519,                0.90333,                 0.8338,                 0.4586,                0.29647,                0.91838,              0.0086635,              0.0086635,              0.0086635
                    137,                0.67066,                0.32728,                 1.0262,                0.86101,                 0.9604,                0.88848,                0.84563,                0.35633,                0.28257,                0.86497,              0.0086536,              0.0086536,              0.0086536
                    138,                0.66961,                0.32768,                 1.0238,                0.89714,                0.95426,                0.90221,                0.84088,                0.38708,                 0.2626,                0.87412,              0.0086437,              0.0086437,              0.0086437
                    139,                0.67637,                0.33371,                  1.034,                0.94641,                0.95316,                0.98085,                0.92623,                0.37732,                0.26523,                0.87347,              0.0086338,              0.0086338,              0.0086338
